**************************************************************************
ID: 40339 | SOURCE: 172.27.232.18 | DESTINATION: 52.168.117.169 | TOS: 0x0 | TIMETOLIVE: 64
PROTOCOL: TCP | FLAGS: S/-/- | SPORT: 15556 | DPORT: 47873 |
**************************************************************************
ID: 61542 | SOURCE: 52.168.117.169 | DESTINATION: 172.27.232.18 | TOS: 0x0 | TIMETOLIVE: 108
PROTOCOL: TCP | FLAGS: S/A/- | SPORT: 47873 | DPORT: 15556 |
**************************************************************************
ID: 40340 | SOURCE: 172.27.232.18 | DESTINATION: 52.168.117.169 | TOS: 0x0 | TIMETOLIVE: 64
PROTOCOL: TCP | FLAGS: -/A/- | SPORT: 15556 | DPORT: 47873 |
**************************************************************************
ID: 40341 | SOURCE: 172.27.232.18 | DESTINATION: 52.168.117.169 | TOS: 0x0 | TIMETOLIVE: 64
PROTOCOL: TCP | FLAGS: -/A/- | SPORT: 15556 | DPORT: 47873 |
**************************************************************************
ID: 61543 | SOURCE: 52.168.117.169 | DESTINATION: 172.27.232.18 | TOS: 0x0 | TIMETOLIVE: 108
PROTOCOL: TCP | FLAGS: -/A/- | SPORT: 47873 | DPORT: 15556 |
